time=2025-07-19T11:07:20.146-04:00 level=INFO msg="Metrics server starting" service=session-service port=8085
time=2025-07-19T11:07:20.146-04:00 level=INFO msg="Starting metrics server" service=session-service port=8085
time=2025-07-19T11:07:20.147-04:00 level=INFO msg="Starting Session Service" service=session-service
time=2025-07-19T11:07:20.147-04:00 level=INFO msg="Starting connection manager" service=session-service max_connections=1000
time=2025-07-19T11:07:20.147-04:00 level=INFO msg="Streaming manager starting" service=session-service
time=2025-07-19T11:07:20.147-04:00 level=INFO msg="Session Service started successfully" service=session-service
time=2025-07-19T11:07:20.147-04:00 level=INFO msg="Session Service started" service=session-service ssh_port=2222 http_port=8083 grpc_port=9083 max_connections=1000
time=2025-07-19T11:07:20.147-04:00 level=INFO msg="HTTP server starting" service=session-service address=0.0.0.0:8083
time=2025-07-19T11:07:20.147-04:00 level=INFO msg="gRPC server starting" service=session-service address=0.0.0.0:9083
time=2025-07-19T11:07:20.148-04:00 level=INFO msg="SSH server starting" service=session-service address=localhost:2222
time=2025-07-19T11:07:20.148-04:00 level=INFO msg="Starting connection manager" service=session-service max_connections=1000
time=2025-07-19T11:07:20.150-04:00 level=WARN msg="Service health check" service=session-service auth_service=available game_service=unavailable status=degraded
time=2025-07-19T11:07:25.157-04:00 level=INFO msg="Service health check" service=session-service auth_service=available game_service=available status=all_healthy
time=2025-07-19T11:07:30.151-04:00 level=INFO msg="Service health check" service=session-service auth_service=available game_service=available status=all_healthy
time=2025-07-19T11:07:35.151-04:00 level=INFO msg="Service health check" service=session-service auth_service=available game_service=available status=all_healthy
time=2025-07-19T11:07:40.151-04:00 level=INFO msg="Service health check" service=session-service auth_service=available game_service=available status=all_healthy
time=2025-07-19T11:07:45.150-04:00 level=INFO msg="Service health check" service=session-service auth_service=available game_service=available status=all_healthy
time=2025-07-19T11:07:50.151-04:00 level=INFO msg="Service health check" service=session-service auth_service=available game_service=available status=all_healthy
time=2025-07-19T11:07:53.435-04:00 level=INFO msg="Connection registered (stateless)" service=session-service connection_id=727a6cfc-8d5b-4250-b70c-1b50b4e4bb01 remote_addr=127.0.0.1:56278 active_count=1
time=2025-07-19T11:07:55.151-04:00 level=INFO msg="Service health check" service=session-service auth_service=available game_service=available status=all_healthy
time=2025-07-19T11:07:55.802-04:00 level=INFO msg="SSH authentication successful" service=session-service username=dungeongate method=config_password
time=2025-07-19T11:07:55.803-04:00 level=INFO msg="SSH connection established" service=session-service connection_id=727a6cfc-8d5b-4250-b70c-1b50b4e4bb01 user=dungeongate
time=2025-07-19T11:08:00.150-04:00 level=INFO msg="Service health check" service=session-service auth_service=available game_service=available status=all_healthy
time=2025-07-19T11:08:03.063-04:00 level=ERROR msg="Invalid login response" service=session-service username=q
time=2025-07-19T11:08:05.067-04:00 level=INFO msg="Connection unregistered (stateless)" service=session-service connection_id=727a6cfc-8d5b-4250-b70c-1b50b4e4bb01 active_count=0
